Account_ID,Base_Hardware,Connected_Device_Count,Avg_Monthly_Data_Usage_GB,Data_Tier_Ceiling_Hits_6M,Upgrade_Page_Views_30D,Propensity_Score_Calculated,Marketing_Action_Segment,Actual_Upgrade_Occurred
IOT_ACC_000001,Smart_Cam_Solo,3,2.48,2,0,48.0,Warm_Educational_Nurture,1
IOT_ACC_000002,Video_Doorbell_Basic,2,6.81,4,2,94.6,Hot_Lead_Direct_Offer,0
IOT_ACC_000003,Smart_Cam_Solo,2,1.27,1,0,20.1,Low_Propensity_Keep_Basic,1
IOT_ACC_000004,Multi_Sensor_Hub,6,3.41,1,2,60.6,Warm_Educational_Nurture,1
IOT_ACC_000005,Video_Doorbell_Basic,3,4.63,6,2,79.1,Hot_Lead_Direct_Offer,0
IOT_ACC_000006,Smart_Cam_Solo,7,1.78,2,1,41.4,Low_Propensity_Keep_Basic,0
IOT_ACC_000007,Smart_Cam_Solo,3,3.15,1,0,41.1,Low_Propensity_Keep_Basic,0
IOT_ACC_000008,Multi_Sensor_Hub,7,2.24,0,1,44.4,Low_Propensity_Keep_Basic,1
IOT_ACC_000009,Smart_Cam_Solo,4,4.67,6,1,90.5,Hot_Lead_Direct_Offer,1
IOT_ACC_000010,Smart_Cam_Solo,3,0.62,2,2,32.6,Low_Propensity_Keep_Basic,0
IOT_ACC_000011,Video_Doorbell_Basic,2,2.52,2,0,29.3,Low_Propensity_Keep_Basic,0
IOT_ACC_000012,Video_Doorbell_Basic,3,4.42,2,1,71.1,Warm_Educational_Nurture,0
IOT_ACC_000013,Video_Doorbell_Basic,3,2.03,2,1,46.5,Warm_Educational_Nurture,0
IOT_ACC_000014,Multi_Sensor_Hub,4,5.9,3,3,92.4,Hot_Lead_Direct_Offer,1
IOT_ACC_000015,Smart_Cam_Solo,7,4.56,6,1,95.9,Hot_Lead_Direct_Offer,1
IOT_ACC_000016,Multi_Sensor_Hub,3,3.41,1,2,53.2,Warm_Educational_Nurture,1
